"-- Please Select --","-- 请选择 --"
"%s","%s"
"%s already exist","%s已存在"
"%s already exists","%s已存在"
"Collections Data","集合(Collections)数据"
"Configuration","配置"
"Controller file was loaded but class does not exist","Controller文件已加载但类class不存在"
"Cookie Domain","Cookie 域"
"Cookie Lifetime","Cookie 时效"
"Cookie Path","Cookie 路径"
"Copyright","版权信息"
"Countries options","国家选项"
"Create Store","新建商店"
"Create Store View","新建商店界面"
"Create Website","新建网站"
"Current package name","当前安装包名称"
"Credit card number does not match credit card type","信用卡号码不匹配的信用卡类型"
"CSS Settings","CSS 设定"
"Current Package Name","当前安装包名称"
"Custom admin URL","自定义管理 URL"
"Custom Design","客户定制"
"Custom email 1","自定义邮件一"
"Custom email 2","自定义邮件二"
"Custom Variables","自定义变量"
"Customer support","客户服务"
"Date From","开始日期"
"Date To","结束日期"
"Date/time format ""%s"" is not supported.","不支持日期/时间格式 ""%s""."
"Debug","调试"
"Default","缺省"
"Default country","缺省国家"
"Default Description","默认描述"
"Default Keywords","默认关键字"
"Default No-route URL","默认缺失的页面"
"Default Pages","默认页面"
"Default Robots","默认机器人设置"
"Default Store","缺省商店"
"Default Store View","缺省商店界面"
"Default Title","默认标题"
"Default Web URL","默认网址"
"Delete","删除"
"Delete Store","删除商店"
"Delete Store View","删除商店界面"
"Delete Website","删除网站"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","删除 %1$s不会删除与  %1$s相关的信息（例如类别，商品等），但是%1$s被删除后无法恢复。建议删除%1$s之前先生成一个数据库备份。"
"Design","设计"
"Design Change","界面设计"
"Developer","开发者"
"Developer Client Restrictions","开发者客户端限制"
"Disable email communications","禁用电子邮件"
"Disable modules output","禁用模块输出"
"Duplicate Of Template Code","模板代码重复"
"Edit Design Change","修改界面设计"
"Display Demo Store Notice","显示演示商店提示"
"Duplicate Of Template Name","模版名字重复"
"Edit Store","修改商店"
"Edit Store View","修改商店界面"
"Edit Website","修改网站"
"Empty identifier field name","标识字段名为空"
"Empty main table name","主数据表名为空"
"Enable Prototype Deprecation Log","启用Prototype Deprecation日志"
"Enabled","启用"
"Enabled for Admin","在管理界面中启用"
"Enabled for Frontend","在前台启用"
"Error in file: ""%s"" - %s","文件：""%s"" - %s 错误"
"Error while saving. Please try again later.","保存时出错，请稍后再试。"
"Error: Passwords do not match","错误：两次密码输入不一致。"
"Exceptions Log File Name","异常日志文件名"
"First Day of Week","周起始日"
"Flush Cache Storage","清理缓存存储器"
"Flush Magento Cache","清理Magento麦金斗缓存"
"Footer","页脚"
"Forgot Password Email Sender","忘记密码的电子邮件发件人"
"Forgot Password Email Template","忘记密码的电子邮件模板"
"General","基本"
"General contact","联系人"
"General Settings","基本设置"
"Global","全站"
"Header","页眉"
"Host","主机"
"How many links to display at once.","一次显示多少链接."
"HTML Head","HTML 头信息"
"ID Path for Specified Store","指定商店的编号路径"
"Id path for specified store","指定商店的编号路径"
"Incorrect credit card expiration date","信用卡失效日期有误"
"Invalid base url type","基准网址类型无效"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","如果当前框架位置不包括最大的页面,将使链接到现在的位置中增加或减少这个价格吗？"
"JavaScript Settings","JavaScript 设定"
"Invalid block name to set child %s: %s","设置 %s: %s 的方框名不正确"
"Invalid block type: %s","方框类型不正确：%s"
"Invalid block: %s","方框不正确：%s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","版面更新参数不正确，必须是 Mage_Core_Model_Layout_Element"
"Invalid layout update handle","版面更新句柄不正确"
"Invalid messages storage ""%s"" for layout messages initialization","版面初始信息的""%s""信息存储不正确"
"Invalid transactional email code: ","交易邮件代码不正确："
"Invalid websites configuration path: %s","网站配置路径不正确：%s"
"Layout","布局"
"Layouts","布局"
"Leave empty for access from any location","放空则允许从任何位置访问"
"Locale","语言"
"Locale options","本地化选项"
"Log Settings","日志选项"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","来自 Mage::log() 的日志。文件位于 {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","来自 Mage::logException() 的日志。文件位于  {{base_dir}}/var/log"
"Login is Case Sensitive","登录区分大小写"
"Logo Image Alt","Logo 替代文字"
"Logo Image Src","Logo 图片源"
"Mail Sending Settings","邮件发送设置"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","请确定基本URL用'/'结束 (斜线), e.g. http://yourdomain/magento/"
"Manage Stores","管理商店"
"Match expressions in the same order as displayed in the configuration.","以配置界面显示顺序匹配表达式。"
"Maximum length exceeded.","最大长度超过."
"Merge CSS Files (beta)","合并CSS文件(beta)"
"Merge JavaScript Files","合并JavaScript文件"
"Miscellaneous HTML","自定义 HTML"
"Miscellaneous Scripts","各种脚本"
"Model class does not exist: %s","型号类不存在：%s"
"Model collection resource name is not defined","型号组合资源名未定义"
"Module ""%1$s"" can not be depended from ""%2$s""","模块""%1$s""不能依""%2$s""而定"
"Module ""%1$s"" requires module ""%2$s""","模块""%1$s""需要模块""%2$s"""
"Name","名称"
"Center","居中"
"Customer Support","技术支持人员"
"Custom Email 1","自定义电子邮件 1"
"Custom Email 2","自定义电子邮件 2"
"Content Management","内容管理"
"Enhanced Product Grid","增强版商品品图文格式"
"Input Magento Pro Licensces","请填写MEC网店系统扩展的授权文件"
"Valid values range: from 0.0 to 1.0.","取值范围从 0.0 到 1.0"
"Email Templates","邮件模板"
"Select Email Template","选择邮件模板"
"This email will be sent instead of default welcome email, after account confirmation.","当用户审核通过后，该邮件将替代默认的欢迎邮件发送给客户。"
"Generate Human-Friendly Customer ID","创造人性化的客户ID"
"Number of Lines in a Street Address ","街道地址的行数"
"Show Prefix","显示前缀"
"Prefix Dropdown Options","前缀下拉选项"
"Show Middle Name (initial)","显示中间名（初始）"
"Show Suffix","显示后缀"
"Suffix Dropdown Options","后缀下拉选项"
"Show Date of Birth","显示生日"
"Show Tax/VAT Number","显示税/增值税号码"
"Show Gender","显示性别"
"Login Options","登录选项"
"License 1","授权文件 1"
"License 2","授权文件 2"
"License 3","授权文件 3"
"Allow Guests to Write Reviews","允许客户填写评论"
"Products per Page on Grid Allowed Values","图文格式下每页允许显示的商品数量"
"Products per Page on Grid Default Value","图文格式下每页默认显示的商品数量"
"Must be in the allowed values list.","必须在每页允许显示的产品数量的列表中"
"Products per Page on List Allowed Values","列表格式下每页允许显示的商品数量"
"Products per Page on List Default Value","列表格式下每页默认显示的商品数量"
"Product Listing Sort by","商品列表的排序方式"
"Minimum Lines per Page","每页显示的最少个数"
"Allow Alert When Product Price Changes","在商品价格变化时允许发送提示邮件"
"Price Alert Email Template","价格提示邮件模板"
"Allow Alert When Product Comes Back in Stock","在商品变回库房有货状态时允许发送提示邮件"
"Stock Alert Email Template","库存提示邮件模板"
"Apply Layered Navigation if Search Results are Less Than","允许分层导航，当搜索结果小于"
"Autogenerated Site Map","自动生成网站地图"
"Cache refresh needed.","需要刷新缓存文件。"
"Time Format","时间格式"
"Date Fields Order","日期显示的顺序"
"Use four-digit year format.","使用4位数的年份格式。"
"Display Out of Stock Products","显示已售罄的商品"
"&lt;strong&gt;Note&lt;/strong&gt; that these settings are applicable to cart line items, not the whole cart.","<strong>请注意</strong>，下面的设置仅使用于购物车中的商品，并非整个购物车。"
"Share Options","共享选项"

"Qty for Items' Status to Become Out of Stock","商品状态变为已售罄时的商品库存量"
"Create Permanent Redirect for old URLs if Url key changed","当Url关键词变更后为旧网址创建永久重定向"
"This will be included before head closing tag in page HTML.","这将被包括在页面的HTML头文件的闭合标签之前。"
"This will be displayed just before body closing tag.","这将被显示在HTML主体部分的闭合标签之前。"
"Example format: 200x300.","参考格式 : 200x300。"
"Allowed file types: jpeg, gif, png.","允许的文件类型：JPEG，GIF和PNG格式。"
"Browse...","浏览..."
"New Design Change","新界面设计"
"New Store","新商店"
"New Store View","新商店界面"
"New Website","新网站"
"No","否"
"Package","安装包"
"Please choose to register or to checkout as a guest","请选择注册或者以访客身份注册。"
"Please define flag code.","请定义标志代码"
"Please enter 6 or more characters.","请输入6个或更多字符。"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","请输入6个或更多字符，前后空格将被忽略。"
"Please enter a number greater than 0 in this field.","请在该栏输入0以上数字。"
"Please enter a valid $ amount. For example $100.00.","请输入正确的金额。例如，$100.00"
"Please enter a valid credit card number.","请输入正确的信用卡号码。"
"Please enter a valid date.","请输入正确的日期。"
"Pagination","分页"
"Pagination Frame","分页框架"
"Pagination Frame Skip","跳过分页框架"
"Please enter a valid email address. For example johndoe@domain.com.","请输入正确的电子邮件地址。例如 johndoe@domain.com"
"Please enter a valid number in this field.","请在该栏目输入正确的数字。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入电话号码。例如 (123) 456-7890 或 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","请输入正确的社会保险号。例如 123-45-6789"
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入正确的网址。例如 http://www.example.com 或 www.example.com"
"Please enter a valid URL. http:// is required","请输入正确的网址，要带 http:// "
"Please enter a valid zip code.","请输入正确的邮编。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮编。例如 90602 或 90602-1234"
"Please enter valid password.","请输入正确的密码。"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","请确保 URL 以斜杠 ""/"" 结束，例如：http://yourdomain/magento/"
"Please make sure your passwords match.","请确认密码一致。"
"Please select an option.","请选择。"
"Please select one of the above options.","请在上面选择。"
"Please select one of the options.","请选择。"
"Please select State/Province.","请选择省份。"
"Please specify payment method.","请指定支付方式。"
"Please specify shipping method.","请指定配送方法。"
"Please use letters only (a-z or A-Z) in this field.","请使用字母 (a-z 或 A-Z) 填写此栏。"
"Please use letters only (a-z) in this field.","请在该栏目中仅输入字母(a-z)。"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","请在该栏目中仅使用数字，不要输入空格或点等字符。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","请在该栏目中仅使用字母(a-z)或数字(0-9)，不要输入空格或其它字符。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","请在该栏目中仅使用字母(a-z)、数字(0-9)、空格或 #"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","请在该栏目中仅使用字母(a-z)、数字(0-9)、下划线(_)，第一个字符必须为字母。"
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%","Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%"
"Return-Path Email","Return-Path Email"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","请使用字母 (a-z 或 A-Z) 填写此栏,第一个支付必须为字母."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用日期格式：dd/mm/yyyy，例如 17/03/2006 表示 2006年3月17日"
"Please wait, loading...","请稍候，加载中..."
"Polls","投票"
"Port (25)","端口 (25)"
"Profiler","配置器"
"Prototype Deprecation Log","Prototype Deprecation 日志"
"Request path for specified store","需要输入商店的路径"
"Requested invalid store ""%s""","请求的商店""%s""有误"
"Resource is not set","资源未设置"
"Redirect to Base URL if requested URL doesn't match it","如果被请求的URL不匹配它,重定向到基本URL"
"Root Category","根分类"
"Sales representative","业务代表"
"Save","保存"
"Save Store","保存商店"
"Save Store View","保存商店界面"
"Save Website","保存网站"
"Search Engines Optimization","搜索引擎优化"
"Secure","安全"
"Security","安全"
"Select Date","选择日期"
"Sender email","发件人地址"
"Sender name","发件人姓名"
"Services","服务"
"Session Cookie management","Session Cookie 管理"
"Session Lifetime, Seconds","Session Lifetime,秒"
"Session Validation Settings","Session 检验设置"
"Set as default","设为默认"
"Set Return-Path","网络设置"
"Skin (Images / CSS)","皮肤 (图像/CSS)"
"SMTP settings (Windows server only)","SMTP 设置（仅限 Windows 主机）"
"Sort order","排序"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定的日期/时间 ""%1$s"" 与格式 ""%2$s"" 不符。"
"Specify either category or product, or both.","指定分类或商品，或两者。"
"Start date can't be greater than end date","开始日期不能大于结束日期"
"Startup page","起始页"
"Status","状态"
"Store","商店"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","商店代码只能含字母(a-z)、数字(0-9)或下划线(_)，第一个字符必须是字母"
"Store doesn't exist","商店记录不存在"
"Store Email Addresses","商店电子邮件地址"
"Store Contact Address","商店联系地址"
"Store Contact Information","商店联系信息"
"Store Contact Telephone","商店联系电话"
"Store Information","商店信息"
"Store Name","商店名称"
"Store View","商店界面"
"Store view doesn't exist","商店视图不存在"
"Store View Information","商店界面信息"
"Store View Name","商店界面名称"
"Store view was successfully deleted.","成功删除商店视图。"
"Store View was successfully saved","成功保存商店界面"
"Store was successfully deleted.","成功删除商店。"
"Store was successfully saved","成功保存商店"
"Store with the same code","商店代码重复"
"System","系统"
"System Log File Name","系统日志文件名"
"Template Path Hints","模板路径提示"
"Template Variables","模板变量"
"Templates","模板"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","您输入的 %s 无效。请确保地址符合如下格式：""http://domain.com/"" ."
"The model collection resource name is not defined.","未定义该模板资源名."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","商店名只能包含字母(a-z),数字(0-9)或下划线(_),第一个字符必须为字母"
"The store does not exist","商店不存在"
"The store has been deleted.","已删除商店."
"The store has been saved.","已保存商店."
"The store view has been deleted.","已删除商店界面."
"The store view has been saved","已保存商店界面"
"The template Name must not be empty.","模板名不能为空."
"The website does not exist.","网站不存在."
"The website has been deleted.","网站已删除."
"The website has been saved.","网站已保存."
"Themes","主题"
"This category and all its child elements","此目录记所有子元素"
"This category and its child categories only","仅限此目录及其子目录"
"This category and its products only","仅限此目录及其下属商品"
"This category only","仅限该分类"
"This date is a required value.","日期是必填的."
"This is a required field.","请先选择您所需购买的商品规格。"
"This store cannot be deleted","无法删除商店"
"This store cannot be deleted.","无法删除商店。"
"This store view cannot be deleted","无法删除商店视图"
"This store view cannot be deleted.","无法删除商店视图。"
"This website cannot be deleted","无法删除网站"
"This website cannot be deleted.","无法删除网站。"
"This will be displayed just before body closing tag","在这里输入的将被显示在主体之前"
"This will be included before head closing tag in page HTML","这里输入的将包含在页面HTML头标签之前"
"Timezone","时区"
"Title Prefix","标题前缀"
"Title Suffix","标题后缀"
"Translate cache should be disabled for both Frontend and Admin inline translations","使用前后台内联翻译均须禁用翻译缓存"
"Translate Inline","内联翻译"
"Translations","翻译"
"Unable to delete store view. Please, try again later.","无法删除商店视图。请稍后重试。"
"Unable to delete store. Please, try again later.","无法删除商店。请稍后重试。"
"Unable to delete website. Please, try again later.","无法删除网站。请稍后重试。"
"Unable to proceed. Please, try again","无法继续，请稍后再试。"
"Unknown scope ""%s""","未知范围""%s"""
"Unsecure","未加密"
"Url Options","网址选项"
"Use custom admin URL","使用自定义管理 URL"
"Use HTTP Only","只能使用HTTP"
"Use Secure URLs in Admin","管理界面使用安全链接"
"Use Secure URLs in Frontend","前台使用安全链接"
"Use Web Server Rewrites","使用服务器网址重写"
"Use SID on Frontend","Use SID on Frontend"
"Validate HTTP_USER_AGENT","检验 HTTP_USER_AGENT"
"Validate HTTP_VIA","检验 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","检验 HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","检验 REMOTE_ADDR"
"Validation has failed.","验证失败."
"Values less than 60 are ignored. Note that changes will apply after logout.","值少于60将被忽略,在登出后注意变更提交."
"Variable Code must be unique.","变量代码必须是唯一个."
"Values less than 60 are ignored.","值小于60将被忽略."
"Web","网站"
"Website","网站"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","网站代码只能含字母(a-z)、数字(0-9)或下划线(_)，第一个字符必须是字母"
"Website doesn't exist","网站不存在"
"Website Information","网站信息"
"Website Name","网站名称"
"Website was successfully deleted.","成功删除网站。"
"Website was successfully saved","成功保存网站"
"Website with the same code","网站代码重复"
"Weekend Days","周末"
"Welcome Text","欢迎文字"
"Wrong number of arguments for %s","%s的参数数量错误"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","缺少可用的支付方式，暂时无法完成您的订单。"
"Your design change for the specified store intersects with another one, please specify another date range.","您将把指定的商店设计改变为另一个,请设定另一个日期范围."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","没有可用的运送方法时,不能完成订单.请修改您的发货地址."
"Your session has been expired, you will be relogged in now.","您的会话已过期，现在重新登录。"
